animal_removed,ADEL_URYVR,ADEL_URYDL,ADEL_RMEL,RMEL_URYDL,RMEL_RMER,pdf_top20,da_ury_rank,top20_overlap
2022-06-14-01,162,314,1,121,160,1,8,4
2022-06-14-07,191,234,1,91,144,1,8,4
2022-06-14-13,148,314,1,149,110,1,7,5
2022-06-28-01,149,533,1,79,221,1,7,4
2022-06-28-07,195,345,1,119,122,1,6,5
2022-07-15-06,200,355,1,137,219,1,7,5
2022-07-15-12,155,247,1,109,126,1,5,4
2022-07-20-01,112,274,1,107,113,1,6,5
2022-07-26-01,212,228,1,177,152,1,8,5
2022-08-02-01,119,219,1,155,97,1,8,5
2022-12-21-06,165,245,1,147,160,1,6,5
2023-01-05-01,195,331,1,159,158,1,7,5
2023-01-05-18,165,318,1,138,131,1,5,5
2023-01-06-01,229,331,1,131,133,1,6,5
2023-01-06-08,192,258,1,139,142,1,5,5
2023-01-06-15,154,394,1,113,157,1,6,4
2023-01-09-08,170,296,1,147,115,1,7,5
2023-01-09-15,151,435,1,300,135,1,6,4
2023-01-09-22,314,342,1,83,177,1,9,5
2023-01-09-28,192,284,1,137,119,1,7,5
2023-01-10-07,87,288,1,59,182,1,7,3
2023-01-10-14,109,340,2,508,98,1,7,5
2023-01-13-07,171,300,1,132,92,1,8,5
2023-01-16-01,174,352,1,136,97,1,6,3
2023-01-16-08,161,291,1,117,120,1,8,5
2023-01-16-15,323,72,1,109,146,1,7,2
2023-01-16-22,178,329,1,127,162,1,6,5
2023-01-17-01,115,215,1,85,158,1,6,4
2023-01-17-07,133,164,1,170,151,1,5,5
2023-01-17-14,363,1261,1,98,564,1,8,3
2023-01-18-01,155,276,1,175,204,1,5,4
2023-01-19-01,161,227,1,123,170,1,5,5
2023-01-19-08,185,247,1,220,162,1,6,5
2023-01-19-15,155,297,1,127,134,1,5,5
2023-01-19-22,193,185,1,204,153,1,5,5
2023-01-23-01,134,729,1,104,97,2,7,5
2023-01-23-08,160,311,1,121,167,1,9,4
2023-01-23-15,94,189,1,95,140,1,7,4
2023-01-23-21,202,379,1,106,120,1,9,5
2023-03-07-01,478,245,1,182,87,1,7,5
