annotation,type,K,p_fisher,OR,top_k_count,bh_rank,bh_threshold,bh_significant
Bentley_PDF,primary,50,0.00029581989104294235,4.534186325469812,9,1,0.0007142857142857143,True
Bentley_PDF,primary,40,0.0003113790069110319,5.163934426229508,8,2,0.0014285714285714286,True
Bentley_PDF,primary,30,0.001884470446340113,5.163934426229508,6,3,0.002142857142857143,True
Bentley_PDF,primary,100,0.0045761830955382155,2.552956345551667,11,4,0.002857142857142857,False
Bentley_PDF,primary,25,0.004629893675991973,5.163934426229508,5,5,0.0035714285714285713,False
Bentley_ser_or_PDF,primary,40,0.005611056265395139,3.2632978723404253,8,6,0.004285714285714286,False
Bentley_PDF,primary,75,0.005912749080807926,2.8166915052160952,9,7,0.005000000000000001,False
Bentley_ser_or_PDF,primary,50,0.006925589553457871,2.865334717176959,9,8,0.005714285714285714,False
Bentley_PDF,primary,10,0.008918609988938248,8.852459016393443,3,9,0.0064285714285714285,False
Bentley_PDF,primary,20,0.011437191884953455,5.163934426229508,4,10,0.007142857142857143,False
Bentley_ser_or_PDF,primary,30,0.01625479069888775,3.2632978723404253,6,11,0.007857142857142858,False
Bentley_PDF,primary,5,0.019173101651810617,13.770491803278688,2,12,0.008571428571428572,False
Bentley_ser_or_PDF,primary,25,0.02785915082013112,3.2632978723404253,5,13,0.009285714285714286,False
Bentley_PDF,primary,15,0.028670189303550666,5.163934426229508,3,14,0.010000000000000002,False
Bentley_ser_or_PDF,primary,10,0.029025025253897344,5.594224924012157,3,15,0.010714285714285714,False
Bentley_ser_or_PDF,primary,5,0.04349604977373074,8.702127659574467,2,16,0.011428571428571429,False
Bentley_ser_or_PDF,primary,100,0.04507032855829893,1.779980657640232,12,17,0.012142857142857143,False
Bentley_ser_or_PDF,primary,20,0.04823271304867638,3.2632978723404253,4,18,0.012857142857142857,False
Bentley_ser_or_PDF,primary,75,0.07851746694848168,1.779980657640232,9,19,0.013571428571428571,False
Bentley_ser_or_PDF,primary,15,0.08504006645278797,3.2632978723404253,3,20,0.014285714285714285,False
Combined_neuromod,exploratory,50,0.19479930539683762,1.450321579064094,41,21,0.015,False
Combined_neuromod,exploratory,75,0.23734420620788754,1.2734530938123751,60,22,0.015714285714285715,False
Combined_neuromod,exploratory,25,0.24057767258748286,1.6714071856287425,21,23,0.016428571428571428,False
Combined_neuromod,exploratory,20,0.2500470019807075,1.8040585495675316,17,24,0.017142857142857144,False
Combined_neuromod,exploratory,15,0.25837094438356417,2.06936127744511,13,25,0.01785714285714286,False
Combined_neuromod,exploratory,10,0.2626947279324678,2.865269461077844,9,26,0.018571428571428572,False
Randi_Funatlas,exploratory,10,0.33735575727871564,1.8535031847133758,2,27,0.019285714285714288,False
Combined_neuromod,exploratory,40,0.3413534363957955,1.2734530938123751,32,28,0.020000000000000004,False
Combined_neuromod,exploratory,100,0.35004232259336665,1.1287425149700598,78,29,0.020714285714285716,False
Combined_neuromod,exploratory,30,0.386884642783401,1.2734530938123751,24,30,0.02142857142857143,False
Randi_Funatlas,exploratory,5,0.4693522801086193,1.8535031847133758,1,31,0.022142857142857145,False
Randi_Funatlas,exploratory,15,0.5480921532583386,1.1406173444390006,2,32,0.022857142857142857,False
Combined_neuromod,exploratory,5,0.6507992959264459,1.2734530938123751,4,33,0.023571428571428573,False
Neuropeptide_Ripoll,exploratory,75,0.6804982730839609,0.9232804232804233,54,34,0.024285714285714285,False
Randi_Funatlas,exploratory,20,0.707831225476903,0.8237791932059448,2,35,0.025,False
Neuropeptide_Ripoll,exploratory,20,0.7403980057130062,0.8377914951989026,14,36,0.025714285714285714,False
Neuropeptide_Ripoll,exploratory,100,0.7685395754344485,0.8790620122037746,71,37,0.02642857142857143,False
Neuropeptide_Ripoll,exploratory,50,0.7761330720503345,0.8377914951989026,35,38,0.027142857142857142,False
Neuropeptide_Ripoll,exploratory,25,0.8097487793055222,0.762988683127572,17,39,0.027857142857142858,False
Randi_Funatlas,exploratory,75,0.8101819876407403,0.7632071937055077,7,40,0.02857142857142857,False
Randi_Funatlas,exploratory,25,0.817842337877663,0.6446967599003046,2,41,0.02928571428571429,False
Neuropeptide_Ripoll,exploratory,15,0.8198543490466694,0.7181069958847736,10,42,0.03,False
Neuropeptide_Ripoll,exploratory,30,0.8589170744861556,0.7181069958847736,20,43,0.03071428571428572,False
Randi_Funatlas,exploratory,100,0.8637127110371486,0.7332540071393575,9,44,0.03142857142857143,False
Randi_Funatlas,exploratory,50,0.8652290614304935,0.6446967599003046,4,45,0.03214285714285715,False
Randi_Funatlas,exploratory,40,0.8734138601012775,0.601136168015149,3,46,0.032857142857142856,False
Randi_Funatlas,exploratory,30,0.8894160602828469,0.5295723384895359,2,47,0.03357142857142857,False
Neuropeptide_Ripoll,exploratory,10,0.9050063576300864,0.5385802469135802,6,48,0.03428571428571429,False
Neuropeptide_Ripoll,exploratory,40,0.9207230065163898,0.6668136390358612,26,49,0.034999999999999996,False
Bentley_serotonin,primary,100,0.9279954883872693,0.3942454851545761,1,50,0.03571428571428572,False
Neuropeptide_Ripoll,exploratory,5,0.9809888561170326,0.23936899862825786,2,51,0.03642857142857143,False
Bentley_serotonin,primary,5,1.0,0.0,0,52,0.037142857142857144,False
Bentley_serotonin,primary,10,1.0,0.0,0,53,0.03785714285714286,False
Bentley_serotonin,primary,15,1.0,0.0,0,54,0.038571428571428576,False
Bentley_serotonin,primary,20,1.0,0.0,0,55,0.039285714285714285,False
Bentley_serotonin,primary,25,1.0,0.0,0,56,0.04000000000000001,False
Bentley_serotonin,primary,30,1.0,0.0,0,57,0.04071428571428572,False
Bentley_serotonin,primary,40,1.0,0.0,0,58,0.04142857142857143,False
Bentley_serotonin,primary,50,1.0,0.0,0,59,0.04214285714285715,False
Bentley_serotonin,primary,75,1.0,0.0,0,60,0.04285714285714286,False
CeNGEN_ser_or_PDF,exploratory,5,1.0,,0,61,0.04357142857142857,False
CeNGEN_ser_or_PDF,exploratory,10,1.0,,0,62,0.04428571428571429,False
CeNGEN_ser_or_PDF,exploratory,15,1.0,,0,63,0.045000000000000005,False
CeNGEN_ser_or_PDF,exploratory,20,1.0,,0,64,0.045714285714285714,False
CeNGEN_ser_or_PDF,exploratory,25,1.0,,0,65,0.04642857142857143,False
CeNGEN_ser_or_PDF,exploratory,30,1.0,,0,66,0.047142857142857146,False
CeNGEN_ser_or_PDF,exploratory,40,1.0,,0,67,0.04785714285714286,False
CeNGEN_ser_or_PDF,exploratory,50,1.0,,0,68,0.04857142857142857,False
CeNGEN_ser_or_PDF,exploratory,75,1.0,,0,69,0.049285714285714294,False
CeNGEN_ser_or_PDF,exploratory,100,1.0,,0,70,0.05,False
